N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,target
0.341462045,0.569663938,0.630973919,0.778820227,0.470248632,0.297713584,0.558200593,0.33933624,0.536540896,0.485128547,1,3,0,0,2,2,0,0,2,1,0
0.236170361,0.71750698,0.556639089,0.413878205,0.672422113,0.444631484,0.454013922,0.570415349,0.521364977,0.503359226,0,2,0,0,1,1,4,2,2,4,0
0.186575146,0.834351174,0.60426964,0.523875725,0.29022858,0.592654226,0.649524037,0.274735996,0.60977129,0.39841235,0,2,2,3,1,0,0,2,1,0,0
0.237262468,0.610659433,0.418395484,0.466732909,0.350743481,0.258837455,0.313870675,0.426854634,0.416785973,0.284242737,0,2,0,2,2,1,0,2,2,0,0
0.510428823,0.636268861,0.374985908,0.684721109,0.447158632,0.367107228,0.199880415,0.485449592,0.427941408,0.708966264,1,0,0,1,3,3,1,0,0,1,0
0.148967556,0.700321184,0.526165291,0.786494522,0.812668308,0.263261887,0.900476097,0.457199196,0.492977948,0.643307261,0,3,0,3,2,4,2,3,1,0,0
0.33793365,0.659755797,0.598354268,0.523141148,0.483278818,0.435981179,0.450008462,0.430237597,0.598774517,0.489727518,0,5,0,3,4,4,2,2,3,0,0
0.256682706,0.561353507,0.553716207,0.840082781,0.516772883,0.608876139,0.367818565,0.594093699,0.476590516,0.669045419,0,2,0,4,4,2,4,3,2,2,0
0.349736454,0.73595375,0.380082608,0.540617043,0.537326865,0.594748364,0.592995586,0.372470422,0.499824419,0.53522404,0,2,0,4,0,0,0,4,3,0,0
0.249863941,0.61662541,0.668812569,0.535561727,0.521744386,0.744269637,0.594346289,0.420147207,0.488290339,0.420091989,0,2,0,0,4,0,1,3,4,4,0
0.36857653,0.588606589,0.596270693,0.660019581,0.537596509,0.280170138,0.408520862,0.583519606,0.467883099,0.708542232,0,2,0,3,2,1,0,2,4,3,0
0.226211429,0.599710608,0.423508756,0.313121083,0.771957598,0.489547416,0.569852412,0.475039048,0.534255395,0.611106496,1,2,0,0,4,2,0,1,3,1,0
0.371049813,0.650623184,0.430385312,0.350643996,0.631760624,0.831192714,0.686700741,0.424477611,0.508793986,0.649840445,0,2,2,0,0,4,4,1,4,2,0
0.365194229,0.62672423,0.530843714,0.278173318,0.37465536,0.485204412,0.597151013,0.749788107,0.56431497,0.278926276,0,2,0,3,1,3,4,1,4,2,0
0.236867721,0.736798773,0.457418807,0.588189112,0.519783354,0.470238128,0.538916803,0.525387681,0.460859623,0.472787659,0,2,3,3,4,0,0,1,0,3,0
0.332825484,0.819686574,0.359902349,0.617699961,0.406419749,0.638500246,0.621783555,0.380667749,0.701441422,0.453030081,0,2,0,1,0,3,3,2,0,1,0
0.235654589,0.817302624,0.733585478,0.211582784,0.553501323,0.552003563,0.470006717,0.61033053,0.446672524,0.578417393,1,3,0,4,2,4,4,4,3,0,0
0.34441867,0.44721859,0.652454143,0.25359383,0.435337701,0.682513095,0.562922381,0.437675409,0.212977431,0.405386764,0,2,4,4,0,4,2,4,2,1,0
0.366869433,0.48043255,0.510164404,0.527103635,0.681381,0.583429246,0.618599814,0.529448497,0.418537139,0.464011911,0,2,0,1,2,0,0,2,0,2,0
0.316992032,0.649950405,0.362954408,0.282972723,0.604418835,0.254850748,0.37915229,0.188128015,0.59654906,0.496564978,0,2,0,2,4,2,3,1,3,1,0
0.30546608,0.792292075,0.74909845,0.486841179,0.528311194,0.532202752,0.540143805,0.535407382,0.468058365,0.432467305,0,5,0,2,3,2,1,1,2,2,0
0.234996157,0.77467897,0.528988764,0.590665524,0.364133785,0.604230101,0.672310598,0.571326351,0.410719645,0.455757584,0,2,0,2,0,2,0,3,0,1,0
0.262478538,0.752738771,0.34933206,0.336862837,0,0.452453013,0.489350999,0.483752462,0.616513134,0.614499131,0,2,0,0,4,2,1,0,1,2,0
0.291034794,0.735496475,0.654422998,0.684797463,0.545144466,0.244830777,0.356067126,0.539349626,0.352339691,0.50095077,0,2,0,3,4,3,4,3,2,3,0
0.21592572,0.536624092,0.610281505,0.535676811,0.468699701,0.389594629,0.605617552,0.482522776,0.456157857,0.392642774,1,5,0,1,1,0,2,4,4,1,0
0.190607076,0.653065725,0.465873591,0.495148361,0.611608264,0.249442614,0.674139057,0.361910485,0.547735296,0.704294734,0,4,0,0,1,0,0,1,4,4,0
0.240850056,0.730504244,0.609941612,0.525639197,0.587195952,0.199071062,0.540401257,0.238560175,0.272506513,0.440263369,0,5,2,1,2,4,3,0,3,0,0
0.209382943,0.627671268,0.493027107,0.440719807,0.617785986,0.492879982,0.448655547,0.389888826,0.583111734,0.624863994,0,5,0,3,2,2,3,3,4,4,0
0.184849833,0.762279975,0.53513529,0.403676332,0.639314688,0.716059111,0.896892135,0.557737604,0.618003647,0.4131206,0,2,0,3,0,3,1,1,0,1,0
0.349269224,0.720529346,0.592972491,0.338124891,0.604993399,0.595775218,0.601844624,0.447455892,0.415298237,0.766836913,0,2,4,2,2,2,4,1,0,2,0
0.105145984,0.750860817,0.359583907,0.468588899,0.449402951,0.587864041,0.585715379,0.331020752,0.514300611,0.520693295,0,2,0,0,2,4,1,2,1,4,0
0.251925023,0.700985671,0.500930212,0.468078606,0.401823565,0.426808876,0.638421467,0.385561469,0.536443473,0.416083661,0,2,0,0,0,1,2,2,0,1,0
0.286334764,0.670517807,0.46997068,0.567606189,0.540556944,0.31011349,0.558414183,0.626201043,0.180150984,0.662739132,0,2,0,3,4,1,1,4,2,1,0
0.274723247,0.553405897,0.478919667,0.580788118,0.469342855,0.302971624,0.287990509,0.50168169,0.463961601,0.451276205,1,2,0,2,3,1,4,0,3,4,0
0.080944062,0.677777,0.422513784,0.492146826,0.52305181,0.419307617,0.538597025,0.23245985,0.565254531,0.612503904,0,2,0,2,3,4,3,3,1,4,0
0.316097618,0.805368408,0.538871878,0.768502416,0.343509986,0.204307054,0.674644157,0.562616656,0.406779068,0.51805239,0,2,3,4,4,4,1,1,4,0,0
0.19442641,0.827837966,0.449763586,0.511359128,0.605380014,0.66465643,0.734068024,0.515520302,0.506193803,0.451651303,0,2,0,0,2,1,2,2,4,1,0
0.343892128,0.750495159,0.726375656,0.685248299,0.377108046,0.564260556,0.372097387,0.526812646,0.456612665,0.466019021,0,2,0,3,4,4,1,2,1,2,0
0.231031707,0.727883456,0.585279905,0.297898918,0.421201107,0.407364496,0.377125628,0.277626242,0.249673406,0.533756375,0,2,0,4,0,2,3,3,1,3,0
0.44928053,0.86021889,0.554426915,0.574434563,0.753990052,0.59610702,0.067877327,0.582154132,0.355590526,0.593878811,0,2,1,1,2,2,3,1,2,0,0
0.266053991,0.499914815,0.468764305,0.401012496,0.444083146,0.835293406,0.355296501,0.397782866,0.541019237,0.684238069,0,2,0,0,4,1,3,0,1,4,0
0.138881792,0.537734408,0.497825404,0.409615694,0.416739529,0.613737829,0.619172413,0.349833144,0.575461839,0.346907262,1,2,0,4,1,2,4,3,2,1,0
0.106293907,0.592456394,0.530174539,0.281200617,0.437190411,0.456202734,0.547374305,0.512660856,0.411080435,0.319445104,0,4,0,0,2,2,2,3,0,4,0
0.310022884,0.781142625,0.467917827,0.472134462,0.802349257,0.633934587,0.377446321,0.840464931,0.616935734,0.477224872,0,1,0,0,0,3,0,3,4,3,0
0.25797686,0.73420802,0.476710221,0.686533184,0.545357782,0.086942733,0.404668168,0.62793933,0.252590634,0.464882147,0,2,0,1,0,3,4,1,2,2,0
0.31229878,0.745730858,0.372912827,0.652423103,0.657930388,0.728986514,0.604018222,0.433420688,0.442745802,0.468602856,0,2,0,4,1,3,0,0,4,1,0
0.261571593,0.727209938,0.630947579,0.222537137,0.658275776,0.410255843,0.474815809,0.269674487,0.5031404,0.441431454,0,2,0,3,3,2,4,0,1,4,0
0.048281393,0.712138436,0.672782903,0.402040885,0.520686684,0.17841152,0.51620003,0.537224428,0.48020997,0.684778764,0,2,3,2,0,0,0,2,4,1,0
0.273820391,0.73620209,0.533792832,0.351784786,0.439263774,0.19681486,0.339950708,0.66395296,0.567347308,0.520971698,0,1,0,2,0,3,0,3,4,2,0
0.276608611,0.602135477,0.555182698,0.545043899,0.545749437,0.872310124,0.375836925,0.652357316,0.461052419,0.537047563,0,2,0,3,3,2,4,2,2,0,0
0.223480923,0.597222079,0.352212496,0.365195326,0.475673004,0.697493815,0.820659001,0.482493509,0.414200526,0.487837786,0,2,2,1,0,3,1,0,0,1,0
0.423652458,0.507036549,0.543044634,0.609692387,0.479923336,0.595288825,0.846458915,0.200892475,0.570748335,0.658562783,0,3,0,2,1,4,0,2,4,2,0
0.349342507,0.686295799,0.473026392,0.397824788,0.588672405,0.316202519,0.49439297,0.341665257,0.402117383,0.549742572,0,2,1,2,3,3,3,1,0,3,0
0.298169576,0.628953162,0.536433888,0.383737434,0.455611318,0.618893353,0.65297794,0.442610471,0.602354686,0.593134631,0,2,0,3,4,1,1,4,4,3,0
