N1,N2,N3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,target
0.341462045,0.569663938,0.630973919,0,2,2,0,0,2,1,5,1,1,2,1,1,1,1,1,1,0
0.236170361,0.71750698,0.556639089,0,1,1,4,2,2,4,4,5,2,1,1,2,2,1,1,1,0
0.186575146,0.834351174,0.60426964,3,1,0,0,2,1,0,5,4,5,1,1,1,2,1,1,1,0
0.237262468,0.610659433,0.418395484,2,2,1,0,2,2,0,3,4,1,2,1,1,1,1,1,1,0
0.510428823,0.636268861,0.374985908,1,3,3,1,0,0,1,3,3,2,1,2,1,2,1,1,1,0
0.148967556,0.700321184,0.526165291,3,2,4,2,3,1,0,4,4,1,2,1,2,1,1,1,1,0
0.33793365,0.659755797,0.598354268,3,4,4,2,2,3,0,2,2,2,1,2,2,1,1,1,1,0
0.256682706,0.561353507,0.553716207,4,4,2,4,3,2,2,4,3,2,2,2,2,2,1,1,1,0
0.349736454,0.73595375,0.380082608,4,0,0,0,4,3,0,2,3,5,2,2,1,1,1,1,1,0
0.249863941,0.61662541,0.668812569,0,4,0,1,3,4,4,4,5,1,2,2,1,2,1,1,1,0
0.36857653,0.588606589,0.596270693,3,2,1,0,2,4,3,1,3,2,1,1,2,2,1,1,1,0
0.226211429,0.599710608,0.423508756,0,4,2,0,1,3,1,4,1,4,2,1,2,1,1,1,1,0
0.371049813,0.650623184,0.430385312,0,0,4,4,1,4,2,4,5,3,2,1,2,1,1,1,1,0
0.365194229,0.62672423,0.530843714,3,1,3,4,1,4,2,1,4,2,2,1,1,2,1,1,1,0
0.236867721,0.736798773,0.457418807,3,4,0,0,1,0,3,2,3,4,1,2,2,2,1,1,1,0
0.332825484,0.819686574,0.359902349,1,0,3,3,2,0,1,5,4,5,2,2,1,1,1,1,1,0
0.235654589,0.817302624,0.733585478,4,2,4,4,4,3,0,3,4,3,2,2,1,1,1,1,1,0
0.34441867,0.44721859,0.652454143,4,0,4,2,4,2,1,5,5,2,1,1,2,1,1,1,1,0
0.366869433,0.48043255,0.510164404,1,2,0,0,2,0,2,3,5,3,1,2,2,1,1,1,1,0
0.316992032,0.649950405,0.362954408,2,4,2,3,1,3,1,3,3,5,1,1,2,2,1,1,1,0
0.30546608,0.792292075,0.74909845,2,3,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,0
0.234996157,0.77467897,0.528988764,2,0,2,0,3,0,1,5,4,3,2,1,2,2,1,1,1,0
0.262478538,0.752738771,0.34933206,0,4,2,1,0,1,2,2,2,4,2,2,2,2,1,1,1,0
0.291034794,0.735496475,0.654422998,3,4,3,4,3,2,3,5,2,5,2,2,2,2,1,1,1,0
0.21592572,0.536624092,0.610281505,1,1,0,2,4,4,1,3,3,2,2,1,1,1,1,1,1,0
0.190607076,0.653065725,0.465873591,0,1,0,0,1,4,4,1,4,4,1,1,1,1,1,1,1,0
0.240850056,0.730504244,0.609941612,1,2,4,3,0,3,0,2,3,2,2,1,2,1,1,1,1,0
0.209382943,0.627671268,0.493027107,3,2,2,3,3,4,4,3,1,1,1,2,1,1,1,1,1,0
0.184849833,0.762279975,0.53513529,3,0,3,1,1,0,1,4,5,1,1,1,2,2,1,1,1,0
0.349269224,0.720529346,0.592972491,2,2,2,4,1,0,2,4,5,4,2,2,2,1,1,1,1,0
0.105145984,0.750860817,0.359583907,0,2,4,1,2,1,4,5,3,3,1,1,2,2,1,1,1,0
0.251925023,0.700985671,0.500930212,0,0,1,2,2,0,1,2,3,1,1,2,1,1,1,1,1,0
0.286334764,0.670517807,0.46997068,3,4,1,1,4,2,1,5,5,2,2,2,1,2,1,1,1,0
0.274723247,0.553405897,0.478919667,2,3,1,4,0,3,4,1,2,4,2,1,2,2,1,1,1,0
0.080944062,0.677777,0.422513784,2,3,4,3,3,1,4,1,3,2,1,2,1,1,1,1,1,0
0.316097618,0.805368408,0.538871878,4,4,4,1,1,4,0,3,1,4,2,2,2,1,1,1,1,0
0.19442641,0.827837966,0.449763586,0,2,1,2,2,4,1,2,2,2,1,2,1,2,1,1,1,0
0.343892128,0.750495159,0.726375656,3,4,4,1,2,1,2,5,3,2,1,1,1,1,1,1,1,0
0.231031707,0.727883456,0.585279905,4,0,2,3,3,1,3,5,1,5,2,2,1,2,1,1,1,0
0.44928053,0.86021889,0.554426915,1,2,2,3,1,2,0,2,2,3,2,2,2,1,1,1,1,0
0.266053991,0.499914815,0.468764305,0,4,1,3,0,1,4,1,5,1,1,2,1,2,1,1,1,0
0.138881792,0.537734408,0.497825404,4,1,2,4,3,2,1,1,1,2,1,2,2,1,1,1,1,0
0.106293907,0.592456394,0.530174539,0,2,2,2,3,0,4,2,1,3,2,2,1,2,1,1,1,0
0.310022884,0.781142625,0.467917827,0,0,3,0,3,4,3,4,2,1,1,2,2,2,1,1,1,0
0.25797686,0.73420802,0.476710221,1,0,3,4,1,2,2,4,3,5,1,1,2,2,1,1,1,0
0.31229878,0.745730858,0.372912827,4,1,3,0,0,4,1,5,1,3,2,1,1,1,1,1,1,0
0.261571593,0.727209938,0.630947579,3,3,2,4,0,1,4,3,3,1,1,1,2,2,1,1,1,0
0.048281393,0.712138436,0.672782903,2,0,0,0,2,4,1,4,3,1,2,1,1,1,1,1,1,0
0.273820391,0.73620209,0.533792832,2,0,3,0,3,4,2,5,5,1,1,2,2,2,1,1,1,0
0.276608611,0.602135477,0.555182698,3,3,2,4,2,2,0,2,3,4,1,2,2,1,1,1,1,0
0.223480923,0.597222079,0.352212496,1,0,3,1,0,0,1,5,4,4,2,1,2,2,1,1,1,0
0.423652458,0.507036549,0.543044634,2,1,4,0,2,4,2,1,1,2,1,1,1,1,1,1,1,0
0.349342507,0.686295799,0.473026392,2,3,3,3,1,0,3,1,1,3,2,2,2,2,1,1,1,0
0.298169576,0.628953162,0.536433888,3,4,1,1,4,4,3,3,4,4,2,2,1,1,1,1,1,0
0.425930535,0.592867857,0.437551201,3,2,2,0,0,4,0,4,4,2,2,1,2,1,1,1,1,0
0.171043039,0.688838803,0.501172301,4,2,4,3,4,3,2,5,3,5,1,2,2,2,1,1,1,0
0.363394268,0.634644646,0.37956349,2,1,4,2,4,4,0,4,3,5,1,1,1,2,1,1,1,0
0.130446892,0.616402944,0.607549758,3,3,2,3,4,3,4,2,2,3,2,1,2,2,1,1,1,0
0.251444469,0.918315171,0.543792125,2,1,3,0,1,4,0,4,4,2,1,1,1,2,1,1,1,0
0.319621491,0.653067174,0.338091061,1,0,1,1,4,4,0,2,1,5,2,1,1,1,1,1,1,0
0.380744581,0.567830607,0.425790764,1,3,2,2,0,0,3,2,4,4,1,2,2,1,1,1,1,0
0.319231254,0.705694717,0.566292282,3,3,0,0,2,1,0,5,3,2,1,1,1,2,1,1,1,0
0.345486946,0.770721781,0.370068134,2,3,2,2,0,1,4,5,5,1,1,2,1,2,1,1,1,0
0.308446634,0.775253548,0.587049644,3,4,3,0,0,1,4,5,5,5,1,2,2,2,1,1,1,0
0.376080193,0.591320951,0.543866908,3,2,3,4,3,3,2,2,2,5,2,2,1,2,1,1,1,0
0.496263014,0.810754013,0.319660885,3,1,1,4,4,3,3,1,2,2,1,1,1,2,1,1,1,0
0.234114225,0.63278913,0.632268054,0,3,3,4,2,2,2,3,1,5,1,1,1,2,1,1,1,0
0.240334012,0.724589902,0.48664245,4,3,4,4,3,1,3,3,2,3,2,1,2,2,1,1,1,0
0.255944604,0.747453516,0.480227066,0,1,1,4,4,2,2,4,4,4,1,2,2,1,1,1,1,0
0.262935563,0.687440584,0.552190874,3,2,0,4,2,2,2,5,5,5,1,1,2,2,1,1,1,0
0.421837237,0.553583151,0.642066115,4,2,4,2,2,3,3,2,4,3,1,2,2,1,1,1,1,0
0.3062703,0.709117335,0.650948163,2,2,1,1,1,1,1,1,4,1,2,2,1,1,1,1,1,0
0.300990136,0.779500992,0.512428364,0,2,0,0,3,1,3,1,2,2,2,2,2,1,1,1,1,0
0.133761283,0.699768577,0.510822037,3,2,2,1,3,2,3,3,5,1,1,1,2,1,1,1,1,0
0.316076718,0.568399526,0.500416477,1,0,4,3,1,1,1,1,3,2,2,1,1,2,1,1,1,0
0.205631974,0.687319338,0.536709028,0,1,2,2,2,4,4,2,4,2,1,2,1,2,1,1,1,0
0.348760527,0.736420397,0.465450683,3,3,2,1,1,2,3,5,3,4,1,2,1,2,1,1,1,0
0.299520913,0.785384425,0.675189808,0,3,3,2,0,0,0,2,3,1,1,2,1,2,1,1,1,0
0.328933485,0.814076261,0.460739177,0,0,4,1,1,1,0,1,2,1,1,1,2,2,1,1,1,0
0.095872096,0.66492467,0.360513013,4,3,2,2,0,0,0,2,3,5,2,1,2,1,1,1,1,0
0.410232202,0.613928067,0.31253905,4,1,1,0,4,4,1,4,3,5,1,2,1,1,1,1,1,0
0.162857603,0.769140474,0.611276742,1,1,4,0,1,0,0,5,4,2,2,2,2,1,1,1,1,0
0.258050218,0.730760715,0.559209082,4,1,0,2,1,4,1,2,4,5,1,1,2,2,1,1,1,0
0.252781515,0.587807413,0.680189572,3,1,4,4,4,0,4,1,4,2,1,1,1,1,1,1,1,0
0.33361654,0.629928914,0.38453527,4,2,4,4,0,1,3,3,4,1,1,1,1,1,1,1,1,0
0.321052248,0.58023971,0.67313737,2,0,3,2,0,0,1,5,5,3,1,1,2,2,1,1,1,0
0.244159457,0.586643068,0.656019319,0,2,1,4,0,2,1,3,5,5,2,2,1,2,1,1,1,0
0.283909879,0.856052055,0.563808894,3,3,2,4,4,1,0,5,2,4,1,1,2,1,1,1,1,0
0.373307012,0.720480752,0.419582247,1,0,2,0,4,0,0,2,3,3,1,1,2,1,1,1,1,0
0.293613529,0.834426873,0.52045223,1,4,3,2,3,0,0,2,2,1,1,2,2,2,1,1,1,0
0.175801404,0.631664258,0.64666539,3,4,2,0,4,0,1,2,2,4,1,1,1,1,1,1,1,0
0.380385663,0.770682981,0.640796547,3,4,4,4,0,1,1,5,5,5,1,1,2,2,1,1,1,0
0.242876633,0.595655509,0.243770327,0,1,0,3,4,3,4,3,1,2,2,2,1,2,1,1,1,0
0.368238663,0.647340243,0.557802569,2,2,0,1,2,0,1,1,3,1,2,1,1,2,1,1,1,0
0.078009536,0.575580197,0.568431646,2,1,4,4,2,0,4,2,5,4,2,1,1,2,1,1,1,0
0.403905374,0.771941399,0.631398297,1,4,4,2,0,3,1,2,4,5,1,2,2,1,1,1,1,0
0.236248221,0.380666182,0.509744568,1,0,2,2,0,3,1,3,2,5,1,2,2,1,1,1,1,0
0.101346821,0.73195568,0.575327789,1,3,3,1,1,0,4,5,2,3,1,2,1,2,1,1,1,0
0.244308902,0.790139739,0.551380752,4,1,3,3,1,4,4,2,2,1,2,1,1,2,1,1,1,0
0.247064512,0.670717031,0.481738667,0,1,0,2,0,1,4,1,1,4,1,2,1,1,1,1,1,0
0.285094526,0.76041802,0.48749383,2,3,4,2,2,1,3,2,2,3,2,1,1,2,1,1,1,0
0.196687844,0.740235503,0.454206816,3,1,3,0,4,3,1,3,2,3,2,2,2,2,1,1,1,0
0.128039724,0.736796557,0.607349733,2,4,3,4,4,1,2,5,5,3,1,1,1,2,1,1,1,0
0.35311924,0.571602432,0.439065871,4,0,4,0,1,4,4,4,4,2,2,2,2,2,1,1,1,0
0.160931245,0.643092894,0.548941182,1,4,1,1,3,1,1,1,4,3,2,1,2,2,1,1,1,0
0.260625669,0.79119378,0.615490267,4,3,2,4,0,4,2,4,4,5,2,2,2,1,1,1,1,0
0.576468387,0.797632527,0.406301051,4,1,1,4,3,2,3,1,1,2,2,1,2,2,1,1,1,0
0.259398176,0.65220398,0.73587035,4,3,2,4,4,0,1,3,3,5,1,1,2,1,1,1,1,0
0.224785367,0.726149016,0.753289887,2,3,1,1,4,0,2,4,4,1,2,1,2,1,1,1,1,0
0.258869179,0.904020556,0.357916327,1,3,1,2,1,1,4,2,2,1,2,2,1,1,1,1,1,0
0.304438013,0.718326939,0.554071071,4,4,4,2,4,4,1,4,5,4,2,1,2,1,1,1,1,0
0.09640603,0.624289797,0.583506716,0,0,4,1,4,3,2,5,1,1,1,2,1,2,1,1,1,0
0.21785469,0.745227296,0.626600159,3,1,4,3,3,1,0,3,3,2,1,1,1,1,1,1,1,0
0.152688508,0.796407326,0.652416181,1,0,1,0,1,2,1,2,1,3,1,2,2,1,1,1,1,0
0.365440209,0.630272789,0.655403513,0,1,3,2,1,3,3,1,2,2,2,2,1,1,1,1,1,0
0.357962769,0.597729105,0.464937296,0,0,3,2,1,3,2,1,1,3,2,1,2,1,1,1,1,0
0.279192199,0.759116297,0.656236213,3,3,2,1,0,2,2,2,4,5,1,2,2,1,1,1,1,0
0.275850471,0.453590031,0.322963445,2,4,4,3,2,1,1,1,1,3,1,1,1,1,1,1,1,0
0.318970826,0.767344292,0.428974201,0,2,1,4,2,1,3,3,5,1,1,2,2,2,1,1,1,0
0.334282121,0.744543537,0.532347073,3,4,3,1,4,1,0,4,3,5,1,1,2,2,1,1,1,0
0.304204551,0.674750384,0.503232867,0,0,1,4,2,4,0,3,5,1,2,2,2,2,1,1,1,0
0.327968069,0.665195944,0.60427578,0,1,3,0,0,4,1,2,2,3,1,1,1,1,1,1,1,0
0.408464353,0.717800738,0.521038881,0,1,3,1,1,1,1,1,5,4,1,1,1,1,1,1,1,0
0.31035922,0.559906531,0.68180447,4,0,1,0,0,4,4,2,2,4,1,2,1,1,1,1,1,0
0.172332741,0.43150443,0.522109288,1,4,4,3,4,0,3,1,4,5,1,1,1,2,1,1,1,0
0.232631902,0.616441875,0.484025563,3,1,1,2,2,3,3,5,3,5,1,2,1,2,1,1,1,0
0.470553605,0.672825263,0.51393807,4,1,4,1,1,3,4,5,2,3,2,1,2,1,1,1,1,0
0.237245315,0.389352757,0.458091483,4,2,2,2,1,2,0,2,1,5,2,2,2,1,1,1,1,0
0.411682438,0.644992673,0.476053131,3,2,4,2,2,4,3,4,3,2,1,2,1,1,1,1,1,0
0.133268887,0.534015489,0.475064782,4,4,0,2,4,0,2,1,1,5,2,1,1,2,1,1,1,0
0.283617651,0.698510139,0.443033696,0,3,2,0,4,4,0,2,5,3,2,1,1,2,1,1,1,0
0.142045219,0.555361184,0.557301183,0,4,2,1,3,3,2,2,4,3,2,2,1,1,1,1,1,0
0.14999765,0.89587711,0.506355323,4,2,3,4,2,4,1,3,4,5,1,2,1,1,1,1,1,0
0.174643925,0.768613376,0.408430706,1,0,3,3,1,4,1,2,2,3,1,1,2,1,1,1,1,0
0.110557656,0.57160664,0.599145475,4,1,1,1,2,3,4,1,2,4,1,2,1,2,1,1,1,0
0.185415203,0.66267648,0.629337023,3,1,3,3,1,0,0,4,2,4,2,2,1,1,1,1,1,0
0.291425125,0.56677816,0.590751795,2,1,0,0,3,2,4,1,4,2,1,1,1,2,1,1,1,0
0.203792857,0.551037437,0.594538883,4,1,0,0,2,0,3,4,3,5,1,1,2,1,1,1,1,0
0.405054453,0.654839385,0.445556658,0,0,4,3,1,1,4,5,5,3,2,1,2,1,1,1,1,0
0.381724807,0.776814455,0.586828684,0,0,3,3,4,1,4,2,3,3,1,2,2,1,1,1,1,0
0.342566122,0.722528721,0.424594526,4,4,2,4,3,1,0,2,3,1,2,2,1,2,1,1,1,0
0.413213704,0.674229234,0.573849314,4,4,0,1,0,1,1,3,1,1,1,2,2,2,1,1,1,0
0.202461879,0.698798955,0.522084156,0,0,0,1,3,1,3,5,1,3,2,1,1,1,1,1,1,0
0.394410882,0.790865319,0.510571041,0,1,1,1,1,3,0,1,3,1,2,1,2,1,1,1,1,0
0.301546379,0.622572322,0.408285663,3,3,3,4,1,0,2,2,1,4,1,1,1,2,1,1,1,0
0.294419075,0.700974641,0.456555809,3,2,3,4,3,2,4,1,2,2,1,2,1,1,1,1,1,0
0.086632913,0.667275183,0.404514711,2,0,3,2,0,2,3,3,5,2,2,1,1,2,1,1,1,0
0.286516879,0.567296525,0.502251274,1,4,0,3,0,1,0,3,3,1,1,2,1,1,1,1,1,0
0.276087497,0.694743947,0.50142076,2,1,0,4,4,3,1,4,1,4,2,1,2,1,1,1,1,0
0.130187031,0.59613006,0.470120537,1,4,0,0,2,1,3,1,5,2,2,1,1,1,1,1,1,0
0.21337902,0.758465302,0.525427889,4,0,0,4,2,3,1,4,4,3,1,2,2,1,1,1,1,0
