C1,C2,C3,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,target
1,3,0,0.778820227,0.470248632,0.297713584,0.558200593,0.33933624,0.536540896,0.485128547,0.778820227,0.470248632,0.297713584,0.558200593,0.33933624,0.536540896,0.485128547,0.558200593,0.33933624,0.536540896,0
0,2,0,0.413878205,0.672422113,0.444631484,0.454013922,0.570415349,0.521364977,0.503359226,0.413878205,0.672422113,0.444631484,0.454013922,0.570415349,0.521364977,0.503359226,0.454013922,0.570415349,0.521364977,0
0,2,2,0.523875725,0.29022858,0.592654226,0.649524037,0.274735996,0.60977129,0.39841235,0.523875725,0.29022858,0.592654226,0.649524037,0.274735996,0.60977129,0.39841235,0.649524037,0.274735996,0.60977129,0
0,2,0,0.466732909,0.350743481,0.258837455,0.313870675,0.426854634,0.416785973,0.284242737,0.466732909,0.350743481,0.258837455,0.313870675,0.426854634,0.416785973,0.284242737,0.313870675,0.426854634,0.416785973,0
1,0,0,0.684721109,0.447158632,0.367107228,0.199880415,0.485449592,0.427941408,0.708966264,0.684721109,0.447158632,0.367107228,0.199880415,0.485449592,0.427941408,0.708966264,0.199880415,0.485449592,0.427941408,0
0,3,0,0.786494522,0.812668308,0.263261887,0.900476097,0.457199196,0.492977948,0.643307261,0.786494522,0.812668308,0.263261887,0.900476097,0.457199196,0.492977948,0.643307261,0.900476097,0.457199196,0.492977948,0
0,5,0,0.523141148,0.483278818,0.435981179,0.450008462,0.430237597,0.598774517,0.489727518,0.523141148,0.483278818,0.435981179,0.450008462,0.430237597,0.598774517,0.489727518,0.450008462,0.430237597,0.598774517,0
0,2,0,0.840082781,0.516772883,0.608876139,0.367818565,0.594093699,0.476590516,0.669045419,0.840082781,0.516772883,0.608876139,0.367818565,0.594093699,0.476590516,0.669045419,0.367818565,0.594093699,0.476590516,0
0,2,0,0.540617043,0.537326865,0.594748364,0.592995586,0.372470422,0.499824419,0.53522404,0.540617043,0.537326865,0.594748364,0.592995586,0.372470422,0.499824419,0.53522404,0.592995586,0.372470422,0.499824419,0
0,2,0,0.535561727,0.521744386,0.744269637,0.594346289,0.420147207,0.488290339,0.420091989,0.535561727,0.521744386,0.744269637,0.594346289,0.420147207,0.488290339,0.420091989,0.594346289,0.420147207,0.488290339,0
0,2,0,0.660019581,0.537596509,0.280170138,0.408520862,0.583519606,0.467883099,0.708542232,0.660019581,0.537596509,0.280170138,0.408520862,0.583519606,0.467883099,0.708542232,0.408520862,0.583519606,0.467883099,0
1,2,0,0.313121083,0.771957598,0.489547416,0.569852412,0.475039048,0.534255395,0.611106496,0.313121083,0.771957598,0.489547416,0.569852412,0.475039048,0.534255395,0.611106496,0.569852412,0.475039048,0.534255395,0
0,2,2,0.350643996,0.631760624,0.831192714,0.686700741,0.424477611,0.508793986,0.649840445,0.350643996,0.631760624,0.831192714,0.686700741,0.424477611,0.508793986,0.649840445,0.686700741,0.424477611,0.508793986,0
0,2,0,0.278173318,0.37465536,0.485204412,0.597151013,0.749788107,0.56431497,0.278926276,0.278173318,0.37465536,0.485204412,0.597151013,0.749788107,0.56431497,0.278926276,0.597151013,0.749788107,0.56431497,0
0,2,3,0.588189112,0.519783354,0.470238128,0.538916803,0.525387681,0.460859623,0.472787659,0.588189112,0.519783354,0.470238128,0.538916803,0.525387681,0.460859623,0.472787659,0.538916803,0.525387681,0.460859623,0
0,2,0,0.617699961,0.406419749,0.638500246,0.621783555,0.380667749,0.701441422,0.453030081,0.617699961,0.406419749,0.638500246,0.621783555,0.380667749,0.701441422,0.453030081,0.621783555,0.380667749,0.701441422,0
1,3,0,0.211582784,0.553501323,0.552003563,0.470006717,0.61033053,0.446672524,0.578417393,0.211582784,0.553501323,0.552003563,0.470006717,0.61033053,0.446672524,0.578417393,0.470006717,0.61033053,0.446672524,0
0,2,4,0.25359383,0.435337701,0.682513095,0.562922381,0.437675409,0.212977431,0.405386764,0.25359383,0.435337701,0.682513095,0.562922381,0.437675409,0.212977431,0.405386764,0.562922381,0.437675409,0.212977431,0
0,2,0,0.527103635,0.681381,0.583429246,0.618599814,0.529448497,0.418537139,0.464011911,0.527103635,0.681381,0.583429246,0.618599814,0.529448497,0.418537139,0.464011911,0.618599814,0.529448497,0.418537139,0
0,2,0,0.282972723,0.604418835,0.254850748,0.37915229,0.188128015,0.59654906,0.496564978,0.282972723,0.604418835,0.254850748,0.37915229,0.188128015,0.59654906,0.496564978,0.37915229,0.188128015,0.59654906,0
0,5,0,0.486841179,0.528311194,0.532202752,0.540143805,0.535407382,0.468058365,0.432467305,0.486841179,0.528311194,0.532202752,0.540143805,0.535407382,0.468058365,0.432467305,0.540143805,0.535407382,0.468058365,0
0,2,0,0.590665524,0.364133785,0.604230101,0.672310598,0.571326351,0.410719645,0.455757584,0.590665524,0.364133785,0.604230101,0.672310598,0.571326351,0.410719645,0.455757584,0.672310598,0.571326351,0.410719645,0
0,2,0,0.336862837,0,0.452453013,0.489350999,0.483752462,0.616513134,0.614499131,0.336862837,0,0.452453013,0.489350999,0.483752462,0.616513134,0.614499131,0.489350999,0.483752462,0.616513134,0
0,2,0,0.684797463,0.545144466,0.244830777,0.356067126,0.539349626,0.352339691,0.50095077,0.684797463,0.545144466,0.244830777,0.356067126,0.539349626,0.352339691,0.50095077,0.356067126,0.539349626,0.352339691,0
1,5,0,0.535676811,0.468699701,0.389594629,0.605617552,0.482522776,0.456157857,0.392642774,0.535676811,0.468699701,0.389594629,0.605617552,0.482522776,0.456157857,0.392642774,0.605617552,0.482522776,0.456157857,0
0,4,0,0.495148361,0.611608264,0.249442614,0.674139057,0.361910485,0.547735296,0.704294734,0.495148361,0.611608264,0.249442614,0.674139057,0.361910485,0.547735296,0.704294734,0.674139057,0.361910485,0.547735296,0
0,5,2,0.525639197,0.587195952,0.199071062,0.540401257,0.238560175,0.272506513,0.440263369,0.525639197,0.587195952,0.199071062,0.540401257,0.238560175,0.272506513,0.440263369,0.540401257,0.238560175,0.272506513,0
0,5,0,0.440719807,0.617785986,0.492879982,0.448655547,0.389888826,0.583111734,0.624863994,0.440719807,0.617785986,0.492879982,0.448655547,0.389888826,0.583111734,0.624863994,0.448655547,0.389888826,0.583111734,0
0,2,0,0.403676332,0.639314688,0.716059111,0.896892135,0.557737604,0.618003647,0.4131206,0.403676332,0.639314688,0.716059111,0.896892135,0.557737604,0.618003647,0.4131206,0.896892135,0.557737604,0.618003647,0
0,2,4,0.338124891,0.604993399,0.595775218,0.601844624,0.447455892,0.415298237,0.766836913,0.338124891,0.604993399,0.595775218,0.601844624,0.447455892,0.415298237,0.766836913,0.601844624,0.447455892,0.415298237,0
0,2,0,0.468588899,0.449402951,0.587864041,0.585715379,0.331020752,0.514300611,0.520693295,0.468588899,0.449402951,0.587864041,0.585715379,0.331020752,0.514300611,0.520693295,0.585715379,0.331020752,0.514300611,0
0,2,0,0.468078606,0.401823565,0.426808876,0.638421467,0.385561469,0.536443473,0.416083661,0.468078606,0.401823565,0.426808876,0.638421467,0.385561469,0.536443473,0.416083661,0.638421467,0.385561469,0.536443473,0
0,2,0,0.567606189,0.540556944,0.31011349,0.558414183,0.626201043,0.180150984,0.662739132,0.567606189,0.540556944,0.31011349,0.558414183,0.626201043,0.180150984,0.662739132,0.558414183,0.626201043,0.180150984,0
1,2,0,0.580788118,0.469342855,0.302971624,0.287990509,0.50168169,0.463961601,0.451276205,0.580788118,0.469342855,0.302971624,0.287990509,0.50168169,0.463961601,0.451276205,0.287990509,0.50168169,0.463961601,0
0,2,0,0.492146826,0.52305181,0.419307617,0.538597025,0.23245985,0.565254531,0.612503904,0.492146826,0.52305181,0.419307617,0.538597025,0.23245985,0.565254531,0.612503904,0.538597025,0.23245985,0.565254531,0
0,2,3,0.768502416,0.343509986,0.204307054,0.674644157,0.562616656,0.406779068,0.51805239,0.768502416,0.343509986,0.204307054,0.674644157,0.562616656,0.406779068,0.51805239,0.674644157,0.562616656,0.406779068,0
